DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/03/2012;12:46:01;22;6767.73;6745.09;6745.09;6767.73
05/03/2012;12:47:01;27;6743.07;6730.93;6725.4;6743.07
05/03/2012;12:48:01;31;6730.9;6728.67;6727.66;6737.75
05/03/2012;12:49:01;42;6727.81;6735.9;6727.03;6736.65
05/03/2012;12:50:01;48;6736.43;6716.83;6713.57;6736.43
05/03/2012;12:51:01;35;6718.85;6721.39;6709.88;6722.13
05/03/2012;12:52:01;49;6721.58;6730.14;6721.58;6731.16
05/03/2012;12:53:01;39;6730.44;6736.36;6730.44;6737.86
05/03/2012;12:54:01;35;6736.66;6737.54;6735.34;6741.01
05/03/2012;12:55:01;36;6737.7;6734.13;6733.29;6738.14
05/03/2012;12:56:01;40;6734.22;6731.7;6730.69;6734.99
05/03/2012;12:57:01;34;6731.48;6731.99;6731.06;6732.91
05/03/2012;12:58:01;27;6732.01;6746.36;6731.89;6746.38
05/03/2012;12:59:01;39;6746.5;6741.69;6740.9;6748.67
05/03/2012;13:00:01;30;6741.93;6736.1;6730.99;6741.93
05/03/2012;13:01:01;24;6735.86;6739.65;6735.6;6741.41
05/03/2012;13:02:01;42;6738.52;6742.24;6737.75;6742.24
05/03/2012;13:03:01;38;6741.79;6738.27;6738.27;6742.5
05/03/2012;13:04:01;45;6736.68;6740.07;6735.92;6740.29
05/03/2012;13:05:01;28;6739.76;6738.22;6736.44;6739.78
05/03/2012;13:06:01;35;6738.02;6737.03;6737.03;6743.18
05/03/2012;13:07:01;38;6736.85;6732.1;6732.1;6737.69
05/03/2012;13:08:01;41;6733.04;6732.75;6731.98;6735.04
05/03/2012;13:09:01;29;6732.46;6736.4;6732.21;6736.85
05/03/2012;13:10:01;40;6736.37;6736.53;6735.49;6737.08
05/03/2012;13:11:01;41;6736.43;6737.12;6733.52;6737.12
05/03/2012;13:12:01;32;6737.53;6735.78;6735.72;6738.53
05/03/2012;13:13:01;34;6735.89;6741.38;6735.73;6741.38
05/03/2012;13:14:01;34;6741.53;6738.89;6738.19;6741.73
